Distance_(microns),gh2ax,dnapk,fak
0.000000,997.375,903.625,973.625
0.032242,1725.336,900.424,1740.342
0.064484,3161.016,896.289,2554.891
0.096726,5202.762,933.256,2940.793
0.128968,6831.125,963.625,2690.688
0.161210,7621.729,888.490,2331.656
0.193452,7417.336,731.352,2308.781
0.225694,6486.906,650.113,2614.900
0.257937,5654.438,739.812,2896.688
0.290179,4965.283,953.160,2879.191
0.322421,4121.141,1076.227,2429.578
0.354663,3311.227,1112.959,1755.064
0.386905,2950.625,1073.375,1147.125
