 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
437	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.177	0.675	0.98	1451	9269	0.156	0.376	28.06	1	0	259.816	52.47	22.179	7.939	1
438	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	combine	Otsu	Otsu	TRUE	0.104	1	0.987	1780	20224	0.341	0.335	2.651	1	8.85E-05	22.077	5.803	6.141	2.004	1
439	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.142	0.629	0.97	1399	2872	0.239	0.308	19.538	1	2.41E-168	237.739	47.381	36.826	11.073	1
440	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.192	0.531	0.97	871	4179	0.141	0.352	29.11	1	0	266.734	37.797	15.545	4.938	1
441	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	combine	Otsu	Otsu	TRUE	0.194	1	0.984	1223	9910	0.372	0.298	5.035	1	5.36E-13	15.156	2.844	3.493	1.002	1
442	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.108	0.479	0.955	842	1238	0.2	0.211	15.553	1	1.60E-107	251.579	34.879	32.72	6.671	1
443	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.148	0.583	0.976	1337	4027	0.065	0.445	22.673	1	6.91E-226	236.817	41.29	5.983	2.463	1
444	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.152	1	0.984	1793	9751	0.28	0.385	3.106	1	5.61E-06	5.923	1.654	1.283	0.469	1
445	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.104	0.563	0.97	1267	1049	0.107	0.294	15.857	1	1.11E-111	230.894	42.535	15.453	4.337	1
446	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.176	0.802	0.975	1492	2076	0.3	0.308	24.385	1	6.50E-261	277.145	55.154	56.285	16.436	1
447	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	0.083	1	0.982	1731	4544	0.233	0.287	1.614	0.989	0.011	55.756	12.835	11.124	3.091	1
448	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.132	0.731	0.963	1449	762	0.403	0.241	13.663	1	1.75E-83	221.389	40.717	69.069	16.305	1
449	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.376	0.67	0.983	1843	3319	0.281	0.55	46.386	1	0	222.006	35.242	18.848	9.337	1
450	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	combine	Otsu	Otsu	TRUE	0.306	1	0.995	2704	7428	0.4	0.462	8.353	1	1.68E-32	18.532	5.516	4.815	2.119	1
451	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.227	0.595	0.967	1716	1029	0.318	0.297	29.251	1	0	203.474	29.22	32.287	9.097	1
452	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.226	0.597	0.979	1672	2516	0.089	0.538	31.136	1	0	189.085	30.247	4.864	2.436	1
453	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	combine	Otsu	Otsu	TRUE	0.184	1	0.995	2734	6228	0.296	0.332	2.234	0.999	7.92E-04	4.74	1.138	1.009	0.328	1
454	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.176	0.573	0.969	1610	665	0.195	0.313	26.435	1	3.40E-306	184.345	29.616	19.014	5.557	1
455	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.358	0.69	0.978	1433	8457	0.354	0.457	54.358	1	0	337.951	62.803	47.536	20.45	1
456	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	combine	Otsu	Otsu	TRUE	0.15	1	0.986	2031	18928	0.306	0.365	5.735	1	2.52E-16	47.095	12.697	10.834	3.8	1
457	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.263	0.581	0.965	1274	2848	0.403	0.337	29.765	1	0	290.856	51.126	59.496	19.314	1
458	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.372	0.601	0.983	1219	5775	0.352	0.51	56.46	1	0	310.22	62.383	42.52	20.027	1
459	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	0.217	1	0.988	1743	12818	0.364	0.431	7.187	1	1.43E-24	42.131	12.883	11.062	4.581	1
460	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.235	0.462	0.971	1097	1902	0.322	0.351	28.733	1	0	268.089	50.091	44.071	15.114	1
461	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.069	0.638	0.949	830	2537	0.126	0.147	10.492	1	4.14E-50	275.137	30.158	28.632	4.117	1
462	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	combine	Otsu	Otsu	TRUE	0.025	1	0.956	758	5724	0.249	0.18	-0.061	0.465	0.535	28.367	4.728	6.627	1.207	1
463	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.064	0.587	0.94	861	817	0.238	0.122	8.85	1	3.04E-36	246.77	24.618	49.999	6.028	1
464	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.09	0.706	0.974	1201	3584	0.16	0.165	12.118	1	3.92E-66	233.003	29.128	30.028	4.881	1
465	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	TRUE	0.05	1	0.982	1205	7657	0.275	0.173	2.067	0.998	0.002	29.844	4.822	7.802	1.345	1
466	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.079	0.652	0.962	1253	1216	0.26	0.142	12.561	1	6.77E-71	203.158	22.607	42.939	6.023	1
467	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.101	0.629	0.911	912	3195	0.149	0.151	14.763	1	4.26E-97	298.031	29.291	27.929	4.315	1
468	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	combine	Otsu	Otsu	TRUE	-0.005	1	0.926	1025	7231	0.213	0.115	0.567	0.789	0.211	27.787	3.578	6.597	0.76	1
469	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.089	0.572	0.891	912	1014	0.231	0.133	11.525	1	4.98E-60	270.244	24.999	44.705	5.734	1
470	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	nucleus	Otsu	Otsu	TRUE	0.023	0.549	0.796	1052	6849	0.046	0.066	3.857	1	2.46E-08	300.69	17.262	13.593	0.864	1
471	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	combine	Otsu	Otsu	TRUE	0.012	1	0.823	899	15291	0.288	0.09	-0.34	0.315	0.685	13.38	1.105	3.832	0.333	1
472	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(8).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.018	0.525	0.772	1052	1929	0.127	0.062	2.975	1	1.30E-05	287.31	16.411	34.963	2.136	1
473	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus	Otsu	Otsu	TRUE	0.035	0.525	0.841	1038	5815	0.049	0.083	6.151	1	1.68E-18	257.844	14.554	9.135	0.746	1
474	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	combine	Otsu	Otsu	TRUE	0.029	1	0.86	1015	13348	0.319	0.092	0.063	0.535	0.465	8.876	0.736	2.385	0.221	1
475	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.025	0.503	0.826	1038	1589	0.118	0.066	4.014	1	6.87E-09	248.968	13.837	26.235	1.694	1
476	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.334	0.731	0.988	1122	1460	0.235	0.567	51.533	1	0	350.298	72.093	30.106	15.492	1
477	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	combine	Otsu	Otsu	TRUE	0.289	1	0.996	1649	3357	0.343	0.51	9.601	1	2.71E-42	29.521	9.166	6.308	3.021	1
478	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.196	0.68	0.979	1048	469	0.328	0.324	25.165	1	1.07E-277	320.777	63.644	65.152	20.298	1
479	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus	Otsu	Otsu	TRUE	0.322	0.659	0.984	1046	1162	0.225	0.559	51.308	1	0	300.821	56.356	22.205	11.275	1
480	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	combine	Otsu	Otsu	TRUE	0.299	1	0.994	1640	2710	0.373	0.478	8.56	1	4.97E-34	21.878	6.03	4.659	2.126	1
481	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.157	0.6	0.974	959	355	0.257	0.308	18.231	1	7.07E-147	278.943	52.327	46.173	13.36	1
482	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.083	0.82	0.976	2394	10651	0.278	0.247	13.713	1	4.43E-84	356.51	74.34	86.405	20.93	1
483	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	0.038	1	0.979	2456	21075	0.256	0.249	1.444	0.979	0.021	85.729	19.944	20.975	5.138	1
484	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.078	0.754	0.97	2394	4083	0.419	0.223	9.636	1	1.36E-42	270.781	53.576	100.209	22.427	1
485	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.029	0.624	0.927	1717	7367	0.065	0.097	4.809	1	5.18E-12	297.698	25.914	18.35	1.799	1
486	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.013	1	0.95	1612	16672	0.232	0.109	1.361	0.973	0.027	17.789	1.973	4.554	0.47	1
487	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.005	0.595	0.907	1717	2255	0.147	0.084	-0.027	0.485	0.515	279.909	24.171	45.594	3.72	1
488	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	nucleus	Otsu	Otsu	TRUE	0.215	0.688	0.941	821	9389	0.277	0.248	28.433	1	0	289.145	31.964	39.39	8.698	1
489	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	combine	Otsu	Otsu	TRUE	0.184	1	0.96	982	20448	0.386	0.256	8.417	1	5.64E-33	39.154	6.665	10.16	2.499	1
490	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_0(8).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.113	0.598	0.907	821	3129	0.294	0.139	11.066	1	1.66E-55	249.991	23.296	50.008	6.693	1
491	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	nucleus	Otsu	Otsu	TRUE	0.224	0.545	0.981	844	8185	0.187	0.357	34.215	1	0	239.683	34.121	16.883	5.94	1
492	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	combine	Otsu	Otsu	TRUE	0.008	1	0.989	1157	18655	0.239	0.215	-1.65	0.01	0.99	16.766	3.793	4.211	0.92	1
493	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-19_Out_Channel Alignment.czi_nucleo_1(7).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.179	0.479	0.971	816	2486	0.26	0.257	21.114	1	3.29E-196	222.917	29.822	29.197	7.159	1
494	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.333	0.868	0.981	1612	4514	0.467	0.418	60.355	1	0	424.147	94.782	109.71	42.619	1
495	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.204	1	0.989	1973	8818	0.378	0.405	12.658	1	5.82E-72	109.07	31.14	28.793	11.336	1
496	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.194	0.787	0.966	1451	1743	0.502	0.279	27.194	1	0	315.077	62.862	116.985	31.518	1
497	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.303	0.578	0.979	1103	2791	0.2	0.504	39.519	1	0	247.355	37.26	14.145	6.594	1
498	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.196	1	0.993	1841	6562	0.351	0.333	3.778	1	4.58E-08	13.983	3.178	3.353	1.074	1
499	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-20_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.187	0.515	0.964	1048	835	0.238	0.288	24.221	1	1.97E-257	233.372	33.477	28.697	7.721	1
500	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.126	0.498	0.969	944	4099	0.084	0.326	17.272	1	4.43E-132	232.21	33.646	9.459	2.75	1
501	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	0.166	1	0.986	1198	9679	0.345	0.3	2.006	0.998	0.002	9.227	1.849	2.187	0.64	1
502	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.067	0.464	0.955	944	1160	0.154	0.194	8.517	1	1.03E-33	222.983	30.939	25.521	4.761	1
503	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.174	0.913	0.979	1375	5148	0.386	0.333	32.452	1	0	503.644	125.72	148.784	47.843	1
504	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	0.084	1	0.984	1524	9794	0.269	0.322	6.038	1	6.74E-18	147.907	40.521	34.611	10.861	1
505	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-21_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.138	0.866	0.971	1300	2149	0.502	0.287	20.482	1	8.76E-185	355.736	85.324	148.853	42.315	1
