 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
390	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	TRUE	0.244	1	0.996	1386	11886	0.381	0.421	13.601	1	9.45E-83	76.523	20.401	18.464	7.508	1
391	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.263	0.843	0.985	942	2287	0.551	0.288	36.168	1	0	272.256	47.586	96.538	26.493	1
392	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	nucleus	Otsu	Otsu	TRUE	0.176	0.623	0.971	1597	7422	0.134	0.344	24.723	1	3.97E-268	293.205	36.276	16.522	5.08	1
393	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	combine	Otsu	Otsu	TRUE	0.167	1	0.987	1913	17673	0.326	0.345	3.971	1	9.82E-09	16.326	3.673	3.665	1.233	1
394	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(7).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.095	0.581	0.956	1597	2184	0.174	0.165	11.317	1	5.99E-58	276.879	31.233	36.499	5.71	1
395	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus	Otsu	Otsu	TRUE	0.155	0.65	0.976	3418	7875	0.07	0.105	18.511	1	2.37E-151	255.666	8.904	8.831	0.762	1
396	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	combine	Otsu	Otsu	TRUE	0.279	1	0.996	2513	18430	0.415	0.349	4.624	1	3.10E-11	8.679	1.642	2.031	0.676	1
397	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.108	0.624	0.961	3662	2188	0.155	0.047	13.719	1	3.70E-84	246.987	7.211	25.406	1.166	1
398	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	nucleus	Otsu	Otsu	TRUE	0.085	0.525	0.957	863	2052	0.043	0.282	11.983	1	1.02E-64	197.699	23.608	4.629	1.104	1
399	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	combine	Otsu	Otsu	TRUE	0.22	1	0.976	800	5968	0.246	0.467	1.35	0.972	0.028	4.155	1.18	0.637	0.293	1
400	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(7).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.06	0.509	0.947	863	607	0.115	0.162	7.848	1	6.41E-29	193.544	22.568	15.973	2.601	1
401	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	nucleus	Otsu	Otsu	TRUE	0.351	0.688	0.988	639	6958	0.331	0.444	37.971	1	0	219.821	34.461	24.521	10.303	1
402	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(6).tif T1	combine	Otsu	Otsu	TRUE	0.109	1	0.994	909	15366	0.297	0.318	3.128	1	4.86E-06	24.353	6.367	6.08	1.908	1
