Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto,data
controle 1 - dapi - pfak - gamma - 1_Out-1.czinucleo_0,2,2.294,1.147,0.562,255,292.522,ct,2020_06_09
controle 1 - dapi - pfak - gamma - 2_Out-1.czinucleo_0,29,8.267,0.285,0.959,255,72.688,ct,2020_06_10
controle 1 - dapi - pfak - gamma - 3_Out-1.czinucleo_0,24,5.385,0.224,1.071,255,57.214,ct,2020_06_11
controle 2 - dapi - pfak - gamma - 1_Out-1.czinucleo_0,3,0.782,0.261,0.209,255,66.448,ct,2020_06_12
controle 2 - dapi - pfak - gamma - 2_Out-1.czinucleo_0,9,3.921,0.436,1.12,255,111.1,ct,2020_06_13
controle 2 - dapi - pfak - gamma - 3_Out-1.czinucleo_0,5,2.309,0.462,0.711,255,117.751,ct,2020_06_14
controle 2 - dapi - pfak - gamma - 4_Out-1.czinucleo_0,10,2.492,0.249,0.969,255,63.541,ct,2020_06_15
controle 2 - dapi - pfak - gamma - 5_Out-1.czinucleo_0,7,2.798,0.4,1.363,255,101.944,ct,2020_06_16
controle 2 - dapi - pfak - gamma - 6_Out-1.czinucleo_0,9,2.178,0.242,0.666,255,61.706,ct,2020_06_17
doxo 1 - dapi - pfak - gamma - 1_Out-1.czinucleo_0,84,26.014,0.31,3.628,255,78.97,dox,2020_06_18
doxo 1 - dapi - pfak - gamma - 2_Out-1.czinucleo_0,59,17.872,0.303,3.085,255,77.243,dox,2020_06_19
doxo 1 - dapi - pfak - gamma - 3_Out-1.czinucleo_0,5,4.187,0.837,1.418,255,213.553,dox,2020_06_20
doxo 1 - dapi - pfak - gamma - 4_Out-1.czinucleo_0,42,10.646,0.253,3.412,255,64.637,dox,2020_06_21
doxo 1 - dapi - pfak - gamma - 5_Out-1.czinucleo_0,51,19.681,0.386,4.393,255,98.404,dox,2020_06_22
doxo 2 - dapi - pfak - gamma - 1_Out-1.czinucleo_0,63,27.641,0.439,7.444,255,111.879,dox,2020_06_23
doxo 2 - dapi - pfak - gamma - 2_Out-1.czinucleo_0,121,41.557,0.343,6.86,255,87.579,dox,2020_06_24
doxo 2 - dapi - pfak - gamma - 3_Out-1.czinucleo_0,70,23.667,0.338,2.715,255,86.217,dox,2020_06_25
doxo 2 - dapi - pfak - gamma - 4_Out-1.czinucleo_0,41,12.92,0.315,4.751,255,80.353,dox,2020_06_26
doxo 2 - dapi - pfak - gamma - 4_Out-1.czinucleo_1,40,12.745,0.319,4.589,255,81.249,dox,2020_06_27
doxo 2 - dapi - pfak - gamma - 5_Out-1.czinucleo_0,48,16.588,0.346,5.814,255,88.124,dox,2020_06_28
doxo 3 - dapi - pfak - gamma - 2_Out-1.czinucleo_0,93,36.87,0.396,6.069,255,101.094,dox,2020_06_29
doxo 3 - dapi - pfak - gamma - 3_Out-1.czinucleo_0,80,30.375,0.38,7.127,255,96.819,dox,2020_06_30
dapi-pfak-gamma-10_Out-1.czinucleo_0,0,0,NaN,0,NaN,NaN,ct,2020_06_23
dapi-pfak-gamma-10_Out-1.czinucleo_1,8,1.574,0.197,0.56,255,50.167,ct,2020_06_23
dapi-pfak-gamma-11_Out-1.czinucleo_0,5,1.153,0.231,0.429,255,58.796,ct,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_0,2,1.602,0.801,0.426,255,204.248,ct,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_1,7,1.596,0.228,0.423,255,58.129,ct,2020_06_23
dapi-pfak-gamma-13_Out-1.czinucleo_0,8,2.424,0.303,0.627,255,77.272,ct,2020_06_23
dapi-pfak-gamma-14_Out-1.czinucleo_0,8,3.309,0.414,0.688,255,105.471,ct,2020_06_23
dapi-pfak-gamma-14_Out-1.czinucleo_1,2,0.466,0.233,0.174,255,59.379,ct,2020_06_23
dapi-pfak-gamma-14_Out-1.czinucleo_2,5,5.984,1.197,1.182,255,305.166,ct,2020_06_23
dapi-pfak-gamma-15_Out-1.czinucleo_0,3,1.195,0.398,0.553,255,101.616,ct,2020_06_23
dapi-pfak-gamma-15_Out-1.czinucleo_1,1,0.549,0.549,0.279,255,139.965,ct,2020_06_23
dapi-pfak-gamma-15_Out-1.czinucleo_2,1,0.7,0.7,0.226,255,178.402,ct,2020_06_23
dapi-pfak-gamma-1_Out-1.czinucleo_0,14,3.504,0.25,1.149,255,63.829,ct,2020_06_23
dapi-pfak-gamma-2_Out-1.czinucleo_0,7,2.048,0.293,0.873,255,74.603,ct,2020_06_23
dapi-pfak-gamma-3_Out-1.czinucleo_0,7,2.068,0.295,0.653,255,75.322,ct,2020_06_23
dapi-pfak-gamma-4_Out-1.czinucleo_0,7,2.457,0.351,0.82,255,89.523,ct,2020_06_23
