label,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_26.tiff,2.547,147859.404,53782.179,45437.134,125076.652,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_27.tiff,2.391,82099.663,51384.158,37423.603,169531.246,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_28.tiff,2.666,152116.092,64732.824,63578.043,191246.278,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_29.tiff,2.649,103553.864,67213.769,48072.077,214383.295,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_3.tiff,5.389,305483.253,117052.531,99471.006,348293.835,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_30.tiff,2.726,103493.478,47101.463,48582.388,129973.705,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_31.tiff,3.094,149096.613,69192.116,66504.386,210261.458,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_32.tiff,4.458,202234.146,99997.416,89372.122,378512.086,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_33.tiff,2.547,139141.967,52812.608,47205.306,167287.121,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment.czi_nucleo_0(7).tifnucleo_0-roi_34.tiff,2.651,166179.961,55809.605,59496.716,144536.48,doxdmso
