n,tto n,tto,Label,Area,Mean,IntDen ku80,IntDengh2ax,Md Mean ku80,Md Mean gh2ax,CTCF ku80,CTCF gh2ax
79,22,ct_sifak,(17)CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0002-0905,154.958,3547.967,549784.06,1308708.882,629.983,219.5823333,452163.1543,1274682.843
80,23,ct_sifak,(17)CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0004-1492,149.909,2812.791,421663.981,1013131.229,629.983,219.5823333,327223.8595,980213.861
81,24,ct_sifak,(17)CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0005-2229,145.584,2588.941,376908.009,348014.521,629.983,219.5823333,285192.5639,316046.8466
82,25,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0004-0828,159.575,4223.647,673989.225,382301.145,827.8493333,134.7536667,541885.1676,360797.8286
83,26,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0005-1172,173.62,3900.986,677287.378,411585.105,827.8493333,134.7536667,533556.1767,388189.1734
84,27,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0006-1401,116.221,3103.559,360697.843,335860.447,827.8493333,134.7536667,264484.3656,320199.2411
85,28,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0007-1426,92.734,3248.85,301279.356,329657.398,827.8493333,134.7536667,224509.5759,317161.1515
86,29,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0008-2071,77.916,2810.162,218957.739,233826.503,827.8493333,134.7536667,154455.0303,223327.0363
87,30,ct_sifak,(15)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0009-2157,110.779,3548.519,393100.2,162919.952,827.8493333,134.7536667,301391.8787,147992.0756
88,31,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0001-0965,79.631,1516.329,120746.251,113421.725,350.5216667,49.693,92833.86016,109464.6217
89,32,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0002-1144,125.619,1555.081,195348.237,124645.572,350.5216667,49.693,151316.0558,118403.187
90,33,ct_sifak,(16)CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0003-1596,243.61,1321.144,321844.328,171457.178,350.5216667,49.693,236453.7448,159351.4663
