index novo,tratamento,index novo,label,area,ctcf fak,ctcf ku80,ctcf gammah2ax
39,controle,39,(21)ct-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo0,235.376,1180056.222,109666.3605,1939725.031
40,controle,40,(21)ct-h2ax-647-ku80-564-fak-488-dapi-16_Out_Channel Alignment-1.czifak:nucleo1,202.824,937499.9346,163650.621,1118975.141
41,controle,41,(11)ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czifak:nucleo0,281.043,1816665.359,916325.7401,195099.5212
42,controle,42,(11)ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czifak:nucleo1,233.716,1639047.29,129447.6861,182579.9321
43,controle,43,(15)ct-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment-1.czifak:nucleo0,291.771,596735.3294,175245.2729,2841377.975
44,controle,44,(15)ct-h2ax-647-ku80-564-fak-488-dapi-18_Out_Channel Alignment-1.czifak:nucleo1,250.715,550632.7136,81810.59054,569763.3256
45,doxo12h,1,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,408.912,3771507.933,3612537.363,18689721.84
46,doxo12h,2,(12)doxo12h-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo1,374.724,3794478.26,2530793.547,13571175.5
47,doxo12h,3,(11)doxo12h-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,372.275,5806306.386,3360961.614,24740486.81
48,doxo12h,4,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo0,357.624,1590136.633,3108850.276,8109112.385
49,doxo12h,5,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,288.271,1313727.237,4378951.554,2477893.63
50,doxo12h,6,(9)doxo12h-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo1,249.481,1180652.856,4086243.003,1896510.062
