 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	Skew	Kurt	RawIntDen	Group
785	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0095-0578	0.178	2128.661	1469	1399	4379	378.397	1900	1.234	0.813	364001.000	2
786	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0096-0589	0.199	2084.037	1412	1398	4584	413.794	1990	1.430	2.695	398051.000	2
787	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0097-0603	0.195	2885.633	1425	1425	6470	563.955	2616	1.059	0.446	542499.000	2
788	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0098-0613	0.177	2362.200	1569	1403	5169	417.457	2230	1.174	1.425	401574.000	2
789	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0099-0616	0.289	2535.964	1424	1408	5821	732.881	2263	0.989	0.220	704998.000	2
790	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0100-0615	0.184	2291.904	1505	1391	4696	421.711	2135	0.919	0.315	405667.000	2
791	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0101-0625	0.312	2029.830	1418	1392	4548	633.033	1905	1.743	4.049	608949.000	2
792	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0102-0619	0.104	2293.650	1435	1392	5061	238.437	1947	1.311	0.989	229365.000	2
793	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0103-0625	0.245	2377.767	1895	1396	5216	583.347	2085	1.159	0.733	561153.000	2
794	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0104-0629	0.253	2527.848	1802	1410	4472	638.562	2343	0.561	-0.779	614267.000	2
795	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0105-0635	0.135	2043.138	1561	1391	4189	276.113	1894	1.449	1.900	265608.000	2
796	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0106-0670	0.666	2621.167	1508	1395	8150	1746.620	2352	1.600	4.159	1680168.000	2
797	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0107-0692	0.133	2021.344	1498	1394	3587	268.965	1910	0.974	0.411	258732.000	2
798	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0108-0712	0.731	3203.802	2346	1392	8000	2341.352	2959	0.631	-0.391	2252273.000	2
799	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0109-0713	0.305	2073.956	1440	1394	3695	631.703	1915	0.856	-0.047	607669.000	2
800	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0110-0709	0.111	2154.495	1812	1397	5155	239.649	1871	1.984	3.776	230531.000	2
801	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0111-0724	0.160	2108.273	2134	1392	3550	337.515	2011	0.728	-0.175	324674.000	2
802	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0001-0051	0.412	3833.189	1647	1622	8758	1577.979	3459	0.774	-0.200	1517943.000	2
803	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0002-0098	0.643	2553.942	1628	1614	5245	1643.415	2430	1.009	0.769	1580890.000	2
804	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0003-0123	1.118	3565.895	3853	1610	9122	3984.948	3430	0.714	0.659	3833337.000	2
805	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0004-0103	0.225	2872.713	1632	1632	5910	645.047	2743	0.824	0.269	620506.000	2
806	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0005-0149	0.423	3277.558	1762	1611	7118	1386.725	2899	0.652	-0.630	1333966.000	2
807	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0006-0173	0.625	2814.549	2307	1611	6425	1758.446	2569	1.062	0.843	1691544.000	2
808	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0007-0184	0.542	3182.035	2300	1611	8790	1723.409	2993	1.414	3.174	1657840.000	2
809	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0008-0184	0.110	2204.802	1656	1618	3590	242.952	2108	0.704	-0.351	233709.000	2
810	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0009-0195	0.514	3467.014	2178	1617	8006	1780.444	3167	0.963	0.501	1712705.000	2
811	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0010-0190	0.142	2618.832	1657	1627	5195	372.970	2554	0.855	0.502	358780.000	2
812	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0011-0208	0.366	3678.179	5456	1636	8279	1345.926	3451	0.710	0.153	1294719.000	2
813	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0012-0216	0.114	2377.200	1614	1614	3849	271.834	2236	0.768	-0.342	261492.000	2
814	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0013-0221	0.444	2848.344	1917	1612	5991	1264.346	2558	0.946	0.121	1216243.000	2
815	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0014-0220	0.150	2451.750	1763	1611	5062	367.015	2194	1.305	1.133	353052.000	2
816	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0015-0243	0.647	3502.119	2226	1611	8233	2264.472	3065	0.809	-0.154	2178318.000	2
817	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0016-0239	0.263	3216.000	2625	1611	5837	845.828	3161	0.302	-0.690	813648.000	2
818	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0017-0257	0.115	2303.703	1762	1610	3786	265.825	2160	0.575	-0.616	255711.000	2
819	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0018-0264	0.206	2415.061	1928	1612	5027	497.094	2296	1.338	2.019	478182.000	2
820	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0019-0260	0.112	2438.806	2590	1627	3666	273.808	2428	0.419	-0.588	263391.000	2
821	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0020-0272	0.225	3152.944	1871	1614	6192	707.971	3012	0.892	0.335	681036.000	2
822	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0021-0274	0.391	3140.356	1632	1620	7237	1227.474	2850	1.053	0.713	1180774.000	2
823	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0022-0298	0.459	3692.873	2399	1617	8506	1696.807	3531	0.774	0.373	1632250.000	2
824	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0023-0301	0.231	2378.595	1714	1614	4608	548.933	2228	1.083	1.043	528048.000	2
825	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0024-0299	0.261	3291.797	1786	1613	8253	858.919	2783	1.114	0.501	826241.000	2
826	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0025-0314	0.535	3185.062	2229	1615	6852	1705.182	2827	0.900	-0.178	1640307.000	2
827	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0026-0314	0.125	3254.583	2159	1614	5439	405.997	3107	0.294	-1.260	390550.000	2
828	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0027-0323	0.168	2387.049	1983	1621	4667	401.996	2276	1.239	1.716	386702.000	2
829	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0028-0407	0.566	2846.357	1698	1614	5159	1609.659	2723	0.557	-0.458	1548418.000	2
830	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0029-0403	0.124	2793.983	3050	1625	5085	345.634	2705	0.596	-0.518	332484.000	2
831	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0030-0410	0.242	2452.597	1709	1620	5793	594.056	2208	1.965	4.124	571455.000	2
832	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0031-0422	0.126	2281.504	1672	1616	3563	286.980	2124	0.829	-0.341	276062.000	2
833	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0032-0427	0.256	2381.073	1807	1621	4452	608.911	2257	0.950	0.524	585744.000	2
834	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0033-0472	1.140	3023.295	2828	1611	6483	3447.727	2825	0.837	0.185	3316555.000	2
835	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0034-0475	0.139	2277.985	1764	1629	3924	317.323	2158	0.903	0.247	305250.000	2
836	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0035-0491	0.176	2789.213	2051	1617	5012	490.020	2576	0.770	-0.290	471377.000	2
837	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0036-0516	0.150	2514.799	1872	1615	4953	376.454	2323	1.082	0.814	362131.000	2
838	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0037-0547	0.150	2554.319	1834	1616	4239	382.370	2342	0.620	-0.808	367822.000	2
839	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0038-0560	0.123	2571.212	1845	1610	5943	315.403	2306	1.513	1.884	303403.000	2
840	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0039-0575	0.238	4132.882	2751	1613	7979	983.862	3952	0.444	-0.715	946430.000	2
841	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0040-0589	0.212	3037.799	1760	1614	6385	644.221	2568	0.963	-0.138	619711.000	2
842	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11)-1.tif:0041-0624	0.193	3379.414	1991	1611	6935	653.431	3091	0.562	-0.614	628571.000	2
843	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0001-0047	0.210	6510.594	10115	1513	19271	1367.155	5445	1.022	0.349	1315140.000	2
844	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0002-0076	1.154	3999.809	1793	1511	12438	4615.385	3301	1.194	0.836	4439788.000	2
845	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0003-0059	0.138	2546.932	1664	1529	4622	352.139	2372	0.691	-0.401	338742.000	2
846	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0004-0098	0.162	3357.327	2238	1526	7341	544.457	2972	0.841	-0.193	523743.000	2
847	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0005-0102	0.151	3805.014	7249	1518	10016	573.548	2820	1.072	0.185	551727.000	2
848	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0006-0101	0.108	2945.846	4198	1515	6863	318.485	2688	1.112	0.799	306368.000	2
849	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0007-0112	0.175	2767.488	1939	1517	4645	483.327	2666	0.430	-0.835	464938.000	2
850	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0008-0115	0.405	4077.438	1526	1515	11885	1653.095	3601	1.016	0.963	1590201.000	2
851	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0009-0154	0.580	3159.980	2797	1517	6896	1833.008	2915	0.690	-0.282	1763269.000	2
852	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0010-0193	0.102	2135.847	1522	1516	3179	217.591	2092	0.592	-0.469	209313.000	2
853	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0011-0200	0.191	3271.848	1566	1519	6252	625.830	3056	0.536	-0.609	602020.000	2
854	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0012-0218	0.116	2523.027	2472	1516	4504	293.755	2411	0.648	-0.438	282579.000	2
855	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0013-0276	0.147	2595.475	1549	1304	5646	380.436	2247	1.008	0.164	365962.000	2
856	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0014-0276	0.115	2265.459	1533	1512	3808	261.412	2202	0.627	-0.321	251466.000	2
857	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0015-0290	0.169	3148.460	1712	1525	8794	533.496	2595	1.446	1.283	513199.000	2
858	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0016-0366	0.166	2349.688	2085	1537	3938	390.819	2263	0.618	-0.176	375950.000	2
859	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0017-0385	0.227	3145.569	1556	1514	9045	712.855	2651	1.399	1.727	685734.000	2
860	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0018-0392	0.350	3086.303	1535	1513	10177	1081.220	2778	1.958	4.937	1040084.000	2
861	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0019-0444	0.128	3437.154	2167	1522	11892	439.491	2895	1.963	3.930	422770.000	2
862	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0020-0449	0.394	2803.892	1523	790	7435	1104.705	2502	1.254	1.210	1062675.000	2
863	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0021-0485	0.290	3650.050	1683	1522	6781	1058.641	3487	0.339	-0.907	1018364.000	2
864	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0022-0513	0.194	2491.487	1742	1516	5358	484.335	2229	1.294	1.134	465908.000	2
865	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0023-0565	0.178	2580.082	1601	1512	5834	458.644	2382	1.402	2.113	441194.000	2
866	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0024-0584	0.180	2557.474	1524	1514	4541	459.942	2338	0.589	-0.772	442443.000	2
867	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0025-0591	0.239	3385.243	1563	1511	9742	809.400	2885	1.511	2.093	778606.000	2
868	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0026-0599	0.175	2829.887	1879	1511	6471	494.224	2327	1.043	0.047	475421.000	2
869	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11)-1.tif:0027-0600	0.135	2978.638	5003	1512	7494	402.538	2422	1.307	0.890	387223.000	2
870	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0001-0087	0.652	8183.169	4144	4060	19058	5333.776	7398	1.036	0.537	5130847.000	2
871	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0002-0076	0.127	6749.426	4249	4040	14690	855.997	6338	1.370	1.586	823430.000	2
872	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0003-0096	0.116	6169.679	4074	4074	10548	718.334	5865	0.873	0.378	691004.000	2
873	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0004-0132	0.457	8227.220	5329	4073	17724	3763.150	7491	0.860	-0.009	3619977.000	2
874	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0005-0131	0.530	9458.896	4238	4051	21380	5014.831	8798	0.773	0.050	4824037.000	2
875	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0006-0151	0.105	6704.743	5040	4059	12795	703.962	6249	1.021	0.676	677179.000	2
876	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0007-0176	0.239	8074.330	4110	4052	19140	1930.545	7604	1.027	0.854	1857096.000	2
877	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0008-0182	0.189	8135.434	5155	4050	14200	1539.210	7952	0.410	-0.841	1480649.000	2
878	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0009-0201	0.307	7923.092	4140	4066	16229	2429.754	7555	0.732	-0.157	2337312.000	2
879	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0010-0204	0.158	7397.704	4185	4128	17561	1168.924	6625	1.343	1.543	1124451.000	2
880	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0011-0250	0.261	7490.845	4106	4052	18132	1954.565	6875	1.339	1.695	1880202.000	2
881	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0012-0266	0.413	8168.305	4669	4048	24434	3371.073	7326	1.372	2.210	3242817.000	2
882	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0013-0271	0.273	8232.939	5025	4089	21690	2250.901	7394	1.355	1.860	2165263.000	2
883	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0014-0282	0.352	7717.059	4070	4037	20360	2719.551	6748	1.458	1.807	2616083.000	2
884	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0015-0340	0.401	7692.715	4143	4037	18135	3086.829	7037	1.032	0.789	2969388.000	2
885	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0016-0366	0.261	7998.116	5117	4047	17204	2086.926	7404	0.887	-0.031	2007527.000	2
886	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0017-0368	0.291	7844.068	4901	4038	16138	2283.206	7457	0.558	-0.392	2196339.000	2
887	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0018-0399	0.263	7177.107	4113	4065	12762	1887.624	6656	0.540	-0.826	1815808.000	2
888	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0019-0444	0.351	7557.254	6733	4036	21445	2655.378	6688	1.570	3.365	2554352.000	2
889	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0020-0454	0.109	6144.267	4334	4042	11819	670.664	5364	1.179	0.526	645148.000	2
890	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0021-0464	0.366	9148.571	7151	4055	25909	3347.662	8745	1.275	2.615	3220297.000	2
891	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0022-0480	0.253	6674.959	4269	4059	18986	1686.167	5809	1.982	4.703	1622015.000	2
892	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0023-0500	0.138	7239.707	4929	4091	12056	1000.964	6786	0.446	-0.943	962881.000	2
893	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0024-0509	0.392	6973.894	4317	4059	13865	2733.143	6391	0.815	-0.158	2629158.000	2
894	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0025-0513	0.277	8209.534	6400	4062	17936	2270.104	7805	0.785	0.372	2183736.000	2
895	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0026-0521	0.361	8154.317	4197	4037	23161	2941.459	7333	1.568	2.716	2829548.000	2
896	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0027-0543	0.358	8705.887	4321	4036	19504	3113.272	7656	0.934	0.045	2994825.000	2
897	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0028-0542	0.103	7714.960	8706	4095	20144	793.989	6680	1.569	2.174	763781.000	2
898	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0029-0576	0.313	8846.950	4483	4040	31179	2768.253	7671	2.014	5.391	2662932.000	2
899	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0030-0579	0.234	8715.360	4611	4156	16632	2038.513	8314	0.467	-0.787	1960956.000	2
900	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0031-0622	0.711	8008.937	4072	4039	21188	5694.776	7474	1.209	2.046	5478113.000	2
901	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0032-0620	0.133	6305.336	5320	4085	11416	839.004	5698	0.983	0.190	807083.000	2
902	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0033-0629	0.141	8576.118	5737	4140	16119	1212.482	7868	0.458	-0.913	1166352.000	2
903	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0034-0638	0.172	7032.782	5408	4036	19971	1206.304	5977	2.042	4.793	1160409.000	2
904	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0035-0656	0.172	7248.394	5816	4096	15077	1243.287	6793	0.737	-0.184	1195985.000	2
905	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0036-0662	0.290	7210.244	4300	4044	14917	2091.220	6796	0.964	0.465	2011658.000	2
906	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0037-0677	0.419	9180.866	4064	4059	22881	3846.222	8423	1.037	1.102	3699889.000	2
907	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0038-0734	0.307	7759.983	4231	4038	19393	2379.734	7059	1.226	1.348	2289195.000	2
908	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0039-0734	0.226	6403.336	4481	4049	12224	1444.481	6055	0.928	0.450	1389524.000	2
909	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0040-0738	0.252	8244.107	4046	4046	19562	2073.981	7925	0.827	0.314	1995074.000	2
910	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13)-1.tif:0041-0760	0.149	8417.322	4621	4047	19350	1251.283	7390	1.087	0.333	1203677.000	2
911	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16)-1.tif:0001-0056	0.277	4792.853	2520	1855	12402	1325.322	4161	1.148	0.536	1274899.000	2
