 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	Skew	Kurt	RawIntDen	Group
690	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11)-1.tif:0030-0751	0.626	2652.297	1483	1329	8808	1659.833	2408	1.915	5.253	1596683.000	2
691	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0001-0027	0.173	2373.530	1470	1392	4707	409.589	2208	1.085	0.584	394006.000	2
692	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0002-0031	0.160	2017.545	1457	1391	4036	322.990	1797	1.428	1.617	310702.000	2
693	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0003-0043	0.159	1814.392	1559	1391	3464	288.581	1699	1.703	2.801	277602.000	2
694	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0004-0053	0.226	2201.737	1904	1392	4199	496.673	1951	1.043	0.143	477777.000	2
695	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0005-0061	0.133	2200.711	1473	1393	4289	292.832	2041	0.960	0.297	281691.000	2
696	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0006-0077	1.226	3265.528	1556	1395	8093	4002.330	3128	0.666	0.017	3850058.000	2
697	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0007-0067	0.116	2018.170	1468	1412	3441	234.975	1961	0.932	0.381	226035.000	2
698	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0008-0071	0.157	2179.331	1560	1403	4162	342.094	2043	1.221	1.180	329079.000	2
699	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0009-0089	1.241	2793.074	2234	1391	6428	3466.829	2606	0.824	0.284	3334930.000	2
700	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0010-0077	0.236	2499.692	2117	1342	5228	589.872	2350	0.778	0.208	567430.000	2
701	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0011-0082	0.127	2219.197	1765	1409	4209	281.450	2034	0.960	0.201	270742.000	2
702	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0012-0097	0.357	2128.837	2039	1392	3779	759.071	2035	0.715	-0.165	730191.000	2
703	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0013-0097	0.108	1997.202	1401	1392	2962	215.924	1932	0.396	-0.992	207709.000	2
704	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0014-0100	0.126	1956.702	1475	1398	3189	246.125	1828	0.848	-0.040	236761.000	2
705	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0015-0107	0.365	2070.877	1636	1391	3365	755.627	1958	0.512	-0.757	726878.000	2
706	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0016-0127	0.300	2034.436	1391	1391	5196	611.206	1832	1.898	4.492	587952.000	2
707	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0017-0125	0.248	2126.088	1470	1391	3701	528.232	2096	0.640	-0.110	508135.000	2
708	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0018-0130	0.184	1906.237	1552	1393	3175	350.749	1764	0.980	0.032	337404.000	2
709	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0019-0136	0.108	2101.519	1587	1406	3774	227.202	1969	0.944	0.180	218558.000	2
710	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0020-0142	0.267	2323.152	1984	1393	4682	620.664	2151	0.828	-0.113	597050.000	2
711	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0021-0144	0.200	1907.510	1457	1393	4747	380.727	1739	2.582	7.553	366242.000	2
712	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0022-0144	0.170	2087.061	1530	1398	4335	355.815	1940	1.344	1.553	342278.000	2
713	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0023-0164	1.184	2707.751	1750	1394	6878	3206.107	2550	1.110	1.399	3084128.000	2
714	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0024-0158	0.791	3278.840	1497	1391	8850	2593.884	2932	1.146	1.039	2495197.000	2
715	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0025-0150	0.172	1926.394	1621	1392	3057	330.426	1864	0.665	-0.393	317855.000	2
716	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0026-0152	0.105	1946.733	1415	1409	3732	204.396	1769	1.544	1.883	196620.000	2
717	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0027-0173	0.291	2091.393	1393	1393	4535	608.750	1968	1.279	1.979	585590.000	2
718	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0028-0169	0.410	2547.327	1642	1392	6402	1043.342	2261	1.312	1.521	1003647.000	2
719	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0029-0173	0.161	2380.477	1478	1392	4258	383.567	2244	0.644	-0.453	368974.000	2
720	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0030-0189	0.812	2687.233	2153	1392	7691	2181.735	2390	1.654	3.268	2098729.000	2
721	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0031-0184	0.179	2147.674	2104	1392	5167	384.010	1925	1.927	3.956	369400.000	2
722	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0032-0186	0.263	2555.162	1457	1394	5156	672.024	2410	0.703	-0.104	646456.000	2
723	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0033-0188	0.299	2013.795	1554	1392	4081	602.911	1884	1.347	2.029	579973.000	2
724	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0034-0198	0.474	3132.654	1483	1397	7613	1484.988	2780	0.924	0.212	1428490.000	2
725	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0035-0205	0.167	2288.379	1498	1401	4272	383.001	2137	0.856	-0.100	368429.000	2
726	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0036-0223	0.133	2034.016	1421	1393	4702	270.651	1741	1.779	2.596	260354.000	2
727	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0037-0226	0.169	2026.374	2167	1399	3581	343.363	1888	0.924	0.246	330299.000	2
728	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0038-0233	0.206	2845.566	1533	1398	7750	585.706	2395	1.301	1.121	563422.000	2
729	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0039-0250	1.123	2778.322	2033	1392	7351	3119.263	2522	1.073	1.009	3000588.000	2
730	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0040-0248	0.114	2007.455	2255	1392	3384	229.554	1930	0.785	0.089	220820.000	2
731	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0041-0257	0.137	1916.311	1415	1399	3223	262.957	1805	1.225	0.847	252953.000	2
732	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0042-0298	1.425	3164.800	1441	1392	7232	4510.549	2924	0.654	-0.357	4338941.000	2
733	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0043-0296	0.511	2318.874	1394	1391	5473	1186.009	2206	1.070	1.465	1140886.000	2
734	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0044-0292	0.285	2550.259	1799	1392	6098	726.408	2148	1.370	1.155	698771.000	2
735	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0045-0286	0.141	1831.868	1420	1399	3126	258.987	1750	1.233	1.232	249134.000	2
736	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0046-0287	0.106	2028.912	1598	1367	4071	215.134	1842	1.356	1.312	206949.000	2
737	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0047-0304	0.851	2918.728	1709	1391	7199	2484.981	2532	0.989	0.267	2390438.000	2
738	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0048-0298	0.188	2262.856	1697	1408	5633	425.776	2082	1.838	4.440	409577.000	2
739	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0049-0327	0.825	2853.412	1534	1393	7106	2355.215	2595	1.079	0.815	2265609.000	2
740	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0050-0339	0.351	2375.642	1481	1391	4925	834.725	2209	0.812	-0.151	802967.000	2
741	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0051-0346	0.106	2045.794	1466	1395	3148	216.924	2001	0.658	-0.322	208671.000	2
742	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0052-0357	0.119	2057.570	1702	1392	3312	243.840	1962	0.657	-0.416	234563.000	2
743	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0053-0361	0.229	2042.359	1457	1391	3802	467.090	1914	1.024	0.469	449319.000	2
744	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0054-0362	0.190	2216.317	1536	1395	4301	421.627	2021	1.137	0.464	405586.000	2
745	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0055-0375	0.566	2188.879	1585	1391	9094	1237.845	1861	3.233	14.362	1190750.000	2
746	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0056-0365	0.116	3364.152	1417	1417	7066	391.687	3127	0.658	-0.665	376785.000	2
747	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0057-0394	0.341	2280.104	1432	1392	5055	777.453	2034	1.354	1.581	747874.000	2
748	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0058-0396	0.212	2623.657	1616	1405	5134	556.395	2501	0.733	-0.094	535226.000	2
749	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0059-0403	0.571	2539.774	1413	1392	7050	1449.483	2234	1.479	2.302	1394336.000	2
750	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0060-0412	0.174	1926.329	1415	1399	3327	334.420	1836	0.974	0.458	321697.000	2
751	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0061-0428	0.759	3225.415	1459	1394	6960	2447.677	3033	0.598	-0.300	2354553.000	2
752	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0062-0439	1.750	3071.909	1533	1391	7130	5374.501	2927	0.708	0.082	5170023.000	2
753	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0063-0430	0.120	1907.348	1395	1395	2928	228.020	1860	0.499	-0.355	219345.000	2
754	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0064-0435	0.117	1920.062	1473	1391	2777	225.548	1842	0.505	-0.702	216967.000	2
755	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0065-0439	0.325	2622.869	2116	1332	5872	853.427	2218	1.081	0.319	820958.000	2
756	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0066-0447	0.397	2464.298	1399	1392	6466	978.594	2228	1.237	1.755	941362.000	2
757	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0067-0444	0.207	2204.704	1750	1393	4638	456.088	2019	1.200	1.318	438736.000	2
758	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0068-0450	0.201	2341.202	1395	1395	3971	469.723	2187	0.522	-0.872	451852.000	2
759	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0069-0456	0.760	2932.304	2873	1399	7260	2228.291	2753	1.066	1.210	2143514.000	2
760	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0070-0449	0.149	2047.531	1477	1404	3281	304.377	1969	0.684	-0.325	292797.000	2
761	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0071-0461	0.191	2210.511	1410	1410	3869	422.821	2078	0.806	-0.243	406734.000	2
762	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0072-0470	0.183	2172.869	1782	1395	4864	397.550	1934	1.510	2.281	382425.000	2
763	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0073-0475	0.161	2166.916	1427	1396	4057	349.156	1965	0.824	-0.345	335872.000	2
764	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0074-0480	0.287	1916.772	1518	1397	4027	549.952	1755	1.766	3.327	529029.000	2
765	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0075-0477	0.102	2245.602	1586	1395	4016	228.773	2167	0.773	-0.194	220069.000	2
766	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0076-0480	0.101	2150.515	1433	1403	3324	216.850	2030	0.396	-1.046	208600.000	2
767	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0077-0485	0.222	1901.626	1435	1393	3340	423.043	1808	1.186	1.170	406948.000	2
768	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0078-0495	0.139	2292.828	1528	1394	4853	319.391	1981	1.089	0.448	307239.000	2
769	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0079-0497	0.186	2732.592	1404	1397	5620	508.480	2652	0.686	0.371	489134.000	2
770	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0080-0507	0.138	2120.120	1512	1221	5374	293.128	1808	1.773	2.679	281976.000	2
771	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0081-0507	0.110	1836.745	1436	1392	2737	202.395	1825	0.856	0.283	194695.000	2
772	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0082-0510	0.128	2113.236	1490	1392	3857	270.208	2018	0.828	0.173	259928.000	2
773	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0083-0520	0.162	2057.327	1422	1394	3519	333.637	1924	0.777	-0.444	320943.000	2
774	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9)-1.tif:0084-0536	1.045	3133.742	1857	1391	7766	3273.972	2773	1.007	0.386	3149411.000	2
