index,index_original,tto,Label,Area,media bc fak,media bc ku80,media bc gh2ax,intden fak,intden ku80,intden gh2ax,RawIntDen fak,RawIntDen ku80,RawIntDen gh2ax,fak CTCF,Column1,ku80 CTCF,Column2,gh2ax CTCF,Column3
32,198,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment-1.czifak:nucleo2,298.165,808.1526667,485.9856667,309.0276667,3841162.563,4681107.84,1341315.992,3695022010,4503010799,1290284395,4440145,4440145,4536203.924,4536203.924,1249174.758,1249174.758
33,199,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment-1.czifak:nucleo3,249.707,808.1526667,485.9856667,309.0276667,2830417.542,3205261.668,639893.134,2722731711,3083314548,615547813,3003460.29,3003460.29,3083907.645,3083907.645,562726.7624,562726.7624
34,200,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-02_Out_Channel Alignment-1.czifak:nucleo4,259.601,808.1526667,485.9856667,309.0276667,3061902.511,3420073.451,764753.441,2945409622,3289953620,735657695,3210276.211,3210276.211,3293911.086,3293911.086,684529.5497,684529.5497
35,220,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo0,349.456,930.9303333,226.76,124.7273333,12363403.02,7754300.218,8379897.008,11893026017,7459280754,8061076141,7428981.027,7428981.027,7675057.575,7675057.575,8336310.293,8336310.293
36,221,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo1,252.618,930.9303333,226.76,124.7273333,5527730.642,3893918.457,1795224.641,5317423060,3745770758,1726923673,3658748.698,3658748.698,3836634.799,3836634.799,1763716.272,1763716.272
37,222,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo2,204.569,930.9303333,226.76,124.7273333,4541523.356,3439677.22,2488607.09,4368736935,3308811545,2393925751,3249237.733,3249237.733,3393289.154,3393289.154,2463091.744,2463091.744
38,223,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo3,234.89,930.9303333,226.76,124.7273333,4814095.819,3084949.572,2158372.932,4630939128,2967579836,2076255654,2866283.346,2866283.346,3031685.916,3031685.916,2129075.729,2129075.729
39,224,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo4,203.327,930.9303333,226.76,124.7273333,3475110.76,2362944.661,1122248.166,3342896984,2273044264,1079551205,2173661.389,2173661.389,2316838.23,2316838.23,1096887.731,1096887.731
40,225,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment-1.czifak:nucleo5,233.04,930.9303333,226.76,124.7273333,3914145.455,2682510.365,1523381.27,3765228201,2580451798,1465422832,2465566.36,2465566.36,2629666.215,2629666.215,1494314.812,1494314.812
41,247,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment-1.czifak:nucleo0,299.1,688.14,123.5233333,96.27666667,4123979.605,2335825.872,1441041.369,3967079019,2246957234,1386215628,2130003.198,2130003.198,2298880.043,2298880.043,1412245.018,1412245.018
42,248,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment-1.czifak:nucleo1,283.217,688.14,123.5233333,96.27666667,3926153.621,2061644.621,1739260.986,3776779506,1983207461,1673089207,1866751.675,1866751.675,2026660.713,2026660.713,1711993.797,1711993.797
43,249,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment-1.czifak:nucleo2,203.197,688.14,123.5233333,96.27666667,2935038.058,1521645.275,645510.867,2823371843,1463752885,620951814,1381817.291,1381817.291,1496545.704,1496545.704,625947.7372,625947.7372
