label	max_9000	sum_9000
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_4(13).tif	3	64
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_5(12).tif	1	47
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(13).tif	3	151
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(13).tif	6	102
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif	6	149
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_3(13).tif	17	158
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_4(13).tif	9	90
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(18).tif	1	36
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(17).tif	1	34
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_2(18).tif	1	21
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_3(17).tif	1	20
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(16).tif	22	294
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(16).tif	59	504
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(17).tif	43	320
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_3(17).tif	14	181
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(14).tif	12	176
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(14).tif	14	203
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_2(14).tif	5	171
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_3(14).tif	13	126
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_4(13).tif	1	108
CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(14).tif	1	48
CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif	1	68
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(10).tif	7	133
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(11).tif	8	99
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_2(11).tif	9	97
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_3(8).tif	4	78
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(11).tif	1	31
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(12).tif	1	36
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_3(9).tif	1	25
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_4(11).tif	1	30
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_5(10).tif	3	41
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_6(10).tif	1	28
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(16).tif	30	239
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(15).tif	8	158
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(16).tif	44	259
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif	1	32
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(15).tif	4	55
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_2(17).tif	1	44
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_3(17).tif	1	11
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_4(16).tif	1	22
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(15).tif	26	146
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(15).tif	26	351
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_2(16).tif	12	157
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_3(15).tif	1	100
Dox-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(15).tif	53	173
Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(15).tif	12	88
Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(9).tif	6	274
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(9).tif	156	416
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(12).tif	89	484
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_2(11).tif	123	296
Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(14).tif	3	240
Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(13).tif	5	211
Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(8).tif	80	244
Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(8).tif	39	488
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(8).tif	34	369
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(9).tif	41	382
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(10).tif	66	461
Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(8).tif	121	697
Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(10).tif	50	465
Dox-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tif	17	282
Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(8).tif	1	191
