delta
0.1935
0.2257
0.2257
0.2257
0.2579
0.1937
0.1612
0.1612
0.2257
0.2257
0.1935
0.1935
0.1612
0.1935
0.258
0.1613
0.1935
0.2257
0.1934
0.1612
0.25798
0.1935
0.2579
0.1935
0.1612
0.2579
0.1935
0.2257
0.2257
0.2257
0.2232
0.1934
0.1935
0.2901
0.2579
0.1612
0.1289
0.1949
0.2902
0.1612
0.2257
0.1934
0.2257
0.2257
0.1935
0.2257
0.1612
0.1612
0.1612
0.1934
0.129
0.2257
0.258
0.2579
0.1935
0.2257
0.1612
0.2579
0.2579
0.2579
0.3224
0.2902
0.1934
0.1612
0.2257
