n_original,dia,tto,tto_numero,Label,area,int_fak,int_dnapk,int_gammah2ax,fak_bc_mean,dnapk_b_meanc,gammah2ax_bc_mean,ctcf_fak,ctcf_fak_bar,ctcf_dnapk,ctcf_dnapk_bar,ctcf_gammah2ax,ctcf_gammah2ax_bar
244,dia 2,controle,5,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo1,236.763,961692.045,500710.759,1104975.839,779.8306667,430.812,152.7226667,777056.9969,777056.9969,398710.4174,398710.4174,1068816.762,1068816.762
245,dia 2,controle,6,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo2,178.809,823947.368,446854.657,523053.928,779.8306667,430.812,152.7226667,684506.6263,684506.6263,369821.5941,369821.5941,495745.7407,495745.7407
246,dia 2,controle,7,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo3,251.312,1151222.398,366926.899,687101.035,779.8306667,430.812,152.7226667,955241.5935,955241.5935,258658.6737,258658.6737,648719.9962,648719.9962
264,dia 2,controle,8,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo0,288.04,1543907.432,745178.465,515033.284,1421.221333,381.269,112.619,1134538.839,1134538.839,635357.7422,635357.7422,482594.5072,482594.5072
265,dia 2,controle,9,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo1,176.857,1343440.423,291130.04,470533.325,1421.221333,381.269,112.619,1092087.482,1092087.482,223699.9485,223699.9485,450615.8665,450615.8665
266,dia 2,controle,10,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo2,275.499,1597924.278,684541.562,444771.448,1421.221333,381.269,112.619,1206379.222,1206379.222,579502.3338,579502.3338,413745.0261,413745.0261
267,dia 2,controle,11,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo3,228.564,1313661.218,496051.546,386343.836,1421.221333,381.269,112.619,988821.1852,988821.1852,408907.1783,408907.1783,360603.1869,360603.1869
268,dia 2,controle,12,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo4,244.831,1364894.069,333805.984,436897.187,1421.221333,381.269,112.619,1016935.029,1016935.029,240459.5135,240459.5135,409324.5646,409324.5646
269,dia 2,controle,13,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo5,238.232,1371530.73,352678.609,626656.997,1421.221333,381.269,112.619,1032950.329,1032950.329,261848.1326,261848.1326,599827.5474,599827.5474
291,dia 2,controle,14,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo0,247.014,2351159.838,750872.906,1298834.792,884.7943333,506.0716667,108.4473333,2132603.251,2132603.251,625866.1193,625866.1193,1272046.782,1272046.782
292,dia 2,controle,15,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo1,186.089,1820954.615,440253.677,695647.12,884.7943333,506.0716667,108.4473333,1656304.122,1656304.122,346079.3066,346079.3066,675466.2642,675466.2642
293,dia 2,controle,16,(12)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo2,266.431,2408400.404,778000.316,479845.308,884.7943333,506.0716667,108.4473333,2172663.765,2172663.765,643167.1358,643167.1358,450951.5765,450951.5765
309,dia 2,controle,17,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,171.409,1500160.667,367185.307,217358.749,972.3363333,334.231,61.31033333,1333493.468,1333493.468,309895.1055,309895.1055,206849.6061,206849.6061
310,dia 2,controle,18,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo1,198.888,1596932.008,308353.512,202229.988,972.3363333,334.231,61.31033333,1403545.979,1403545.979,241878.9769,241878.9769,190036.0984,190036.0984
311,dia 2,controle,19,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo2,249.613,2118534.311,280520.472,213234.216,972.3363333,334.231,61.31033333,1875826.522,1875826.522,197092.0694,197092.0694,197930.3598,197930.3598
312,dia 2,controle,20,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo3,171.593,1529832.251,247823.653,217155.716,972.3363333,334.231,61.31033333,1362986.143,1362986.143,190471.953,190471.953,206635.292,206635.292
313,dia 2,controle,21,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo4,196.367,1554554.048,296768.829,194565.193,972.3363333,334.231,61.31033333,1363619.279,1363619.279,231136.8902,231136.8902,182525.8668,182525.8668
333,dia 2,controle,22,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,197.24,293756.038,313325.342,147967.462,179.3733333,384.5803333,30.39633333,258376.4417,258376.4417,237470.7171,237470.7171,141972.0892,141972.0892
334,dia 2,controle,23,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo1,207.18,355460.286,434043.425,268149.894,179.3733333,384.5803333,30.39633333,318297.7188,318297.7188,354366.0715,354366.0715,261852.3817,261852.3817
335,dia 2,controle,24,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo2,163.35,251749.025,273252.81,165078.327,179.3733333,384.5803333,30.39633333,222448.391,222448.391,210431.6126,210431.6126,160113.086,160113.086
336,dia 2,controle,25,(15)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo3,184.476,228188.403,353798.637,155062.254,179.3733333,384.5803333,30.39633333,195098.328,195098.328,282852.7954,282852.7954,149454.86,149454.86
354,dia 2,controle,26,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo0,279.526,2462255.495,563123.923,427802.987,1029.648333,318.7956667,106.654,2174442.015,2174442.015,474012.2455,474012.2455,397990.421,397990.421
355,dia 2,controle,27,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo1,259.172,1583188.801,523257.216,230751.115,1029.648333,318.7956667,106.654,1316332.783,1316332.783,440634.3055,440634.3055,203109.3845,203109.3845
356,dia 2,controle,28,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo2,214.325,1466761.117,427772.819,300270.221,1029.648333,318.7956667,106.654,1246081.738,1246081.738,359446.9377,359446.9377,277411.6025,277411.6025
357,dia 2,controle,29,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo3,199.964,1254892.564,361217.35,215491.707,1029.648333,318.7956667,106.654,1048999.965,1048999.965,297469.6933,297469.6933,194164.7465,194164.7465
358,dia 2,controle,30,(13)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo4,259.56,1683993.028,507366.768,268328.05,1029.648333,318.7956667,106.654,1416737.507,1416737.507,424620.1648,424620.1648,240644.9378,240644.9378
378,dia 2,controle,31,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,199.85,977085.082,302239.864,166774.572,774.4923333,521.176,109.137,822302.7892,822302.7892,198082.8404,198082.8404,144963.5426,144963.5426
379,dia 2,controle,32,(16)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo1,247.246,1248827.538,420157.063,208533.549,774.4923333,521.176,109.137,1057337.407,1057337.407,291298.3817,291298.3817,181549.8623,181549.8623
