,prot,tto,nucleo,nrois,pc_gh2ax_ku80,pc_fak_ku80,pc_gh2ax_fak
109,ku80,dox_dmso,0,3,-0.076352157,0.887538599,0.391622961
110,ku80,dox_dmso,0,28,0.647565139,0.83350769,0.712538479
111,ku80,dox_dmso,1,54,0.807475062,0.809883535,0.830246841
112,ku80,dox_dmso,0,61,0.853947886,0.867948343,0.90731696
113,ku80,dox_dmso,0,14,0.508822182,0.385604419,0.837992388
114,ku80,dox_dmso,1,13,0.968383872,0.974789809,0.981123728
115,ku80,dox_dmso,0,14,0.466129806,0.894794252,0.736664322
116,ku80,dox_dmso,0,39,0.692977086,0.652214924,0.829218211
117,ku80,dox_dmso,1,70,0.805356394,0.664687613,0.867459633
118,ku80,dox_pf,0,90,0.854230651,0.823802785,0.935939758
119,ku80,dox_pf,0,23,0.843921564,0.827087926,0.924453161
120,ku80,dox_pf,1,27,0.820022767,0.784367131,0.896892905
121,ku80,dox_pf,0,46,0.79219006,0.793256051,0.942352392
122,ku80,dox_pf,0,46,0.736393954,0.57906042,0.831536989
123,ku80,dox_pf,1,41,0.673046101,0.507346215,0.822634518
124,ku80,dox_pf,0,35,0.863520638,0.849301946,0.909586828
125,ku80,dox_pf,0,50,0.802068006,0.736261126,0.862979291
126,ku80,dox_pf,0,73,0.858751447,0.875634548,0.957075582
127,ku80,dox_pf,0,24,0.611289903,0.791888969,0.539622973
128,ku80,dox_pf,1,21,0.757963611,0.824829725,0.841539313
129,ku80,dox_pf,0,16,0.799489866,0.801802909,0.918461625
130,ku80,dox_pf,0,28,0.76761165,0.812665254,0.789993695
131,ku80,dox_pf,1,55,0.891833973,0.896710317,0.953169064
132,ku80,dox_pf,0,44,0.578625012,0.684750285,0.865504382
