Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,2,0.7,0.35,0.452,255,89.201,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,1.098,0.549,0.579,255,139.965,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,5,0.921,0.184,0.567,255,46.973,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,5,1.164,0.233,0.603,255,59.379,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,10,2.172,0.217,1.013,255,55.376,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,4,1.165,0.291,0.627,255,74.29,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,0,0,NaN,0,NaN,NaN,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,4,1.268,0.317,0.664,255,80.851,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,0.778,0.389,0.456,255,99.142,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,5,0.983,0.197,0.557,255,50.154,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_3(13).tifnucleo_0,2,0.601,0.3,0.373,255,76.61,ct_scramble
CT-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_4(12).tifnucleo_0,4,0.767,0.192,0.455,255,48.908,ct_scramble
CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,8,3.779,0.472,1.442,255,120.448,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,0,0,NaN,0,NaN,NaN,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,8,1.619,0.202,0.712,255,51.592,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_3(13).tifnucleo_0,5,1.362,0.272,0.931,255,69.452,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,12,2.806,0.234,0.881,255,59.622,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,12,2.896,0.241,1.471,255,61.544,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,2,0.953,0.477,0.647,255,121.542,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_3(12).tifnucleo_0,13,2.716,0.209,1.081,255,53.282,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_4(12).tifnucleo_0,11,2.857,0.26,0.944,255,66.223,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_5(14).tifnucleo_0,10,2.473,0.247,1.178,255,63.064,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tifnucleo_0,2,0.442,0.221,0.236,255,56.331,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,12,3.236,0.27,2.266,255,68.768,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_2(10).tifnucleo_0,15,3.891,0.259,1.369,255,66.148,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_3(10).tifnucleo_0,3,1.121,0.374,0.738,255,95.254,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,12,3.42,0.285,1.487,255,72.678,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,13,2.753,0.212,1.454,255,53.996,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,6,1.628,0.271,1.097,255,69.187,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_3(14).tifnucleo_0,12,3,0.25,1.369,255,63.753,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,10,2.496,0.25,1.026,255,63.647,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,20,5.266,0.263,2.614,255,67.146,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(17).tifnucleo_0,5,1.105,0.221,0.602,255,56.357,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,2,1.114,0.557,0.505,255,142.086,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,1,0.743,0.743,0.309,255,189.536,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,1,0.821,0.821,0.508,255,209.417,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_3(13).tifnucleo_0,4,1.007,0.252,0.788,255,64.217,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_4(13).tifnucleo_0,1,0.2,0.2,0.129,255,50.896,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,7,1.487,0.212,0.901,255,54.153,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,0,0,NaN,0,NaN,NaN,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(9).tifnucleo_0,4,1.403,0.351,0.562,255,89.466,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(9).tifnucleo_0,2,1.07,0.535,0.755,255,136.386,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_2(9).tifnucleo_0,9,2.926,0.325,1.743,255,82.913,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_3(9).tifnucleo_0,9,1.944,0.216,1.068,255,55.079,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(9).tifnucleo_0,7,1.781,0.254,1.178,255,64.87,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,1,0.258,0.258,0.164,255,65.741,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,1,0.81,0.81,0.463,255,206.502,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_3(9).tifnucleo_0,4,0.705,0.176,0.399,255,44.932,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_4(9).tifnucleo_0,3,0.819,0.273,0.648,255,69.629,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_5(9).tifnucleo_0,5,1.036,0.207,0.704,255,52.858,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,9,2.204,0.245,1.231,255,62.442,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,2,0.449,0.225,0.286,255,57.258,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_2(16).tifnucleo_0,26,5.897,0.227,1.684,255,57.84,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(16).tifnucleo_0,2,0.464,0.232,0.256,255,59.114,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,5,1.909,0.382,1.084,255,97.339,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_2(15).tifnucleo_0,4,1.066,0.266,0.64,255,67.928,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_3(16).tifnucleo_0,3,1.395,0.465,0.864,255,118.582,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_4(14).tifnucleo_0,3,1.558,0.519,1.15,255,132.454,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_5(14).tifnucleo_0,6,1.646,0.274,0.995,255,69.938,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,6,1.396,0.233,0.938,255,59.335,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,14,3.443,0.246,1.306,255,62.712,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_2(14).tifnucleo_0,8,1.617,0.202,0.78,255,51.526,ct_sifak
CT-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_3(13).tifnucleo_0,2,0.579,0.29,0.306,255,73.826,ct_sifak
Dox-scramble-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment.czi_nucleo_0(16).tifnucleo_0,24,9.702,0.404,6.138,255,103.085,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,10,2.339,0.234,1.035,255,59.644,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment.czi_nucleo_1(14).tifnucleo_0,47,21.585,0.459,5.088,255,117.111,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_0(9).tifnucleo_0,39,17.585,0.451,9.73,255,114.979,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,37,26.74,0.723,12.382,255,184.292,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,39,12.152,0.312,7.073,255,79.458,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,45,30.541,0.679,11.98,255,173.065,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,54,27.738,0.514,11.8,255,130.987,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,36,10.212,0.284,5.133,255,72.332,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,67,40.607,0.606,11.316,255,154.549,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,59,20.986,0.356,7.825,255,90.704,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,54,28.167,0.522,10.439,255,133.009,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,49,29.033,0.593,9.139,255,151.088,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,63,30.059,0.477,10.731,255,121.666,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,31,27.935,0.901,9.87,255,229.786,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,47,15.274,0.325,5.601,255,82.87,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,95,34.598,0.364,6.013,255,92.869,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0,53,22.939,0.433,10.099,255,110.366,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-09_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,54,25.555,0.473,12.894,255,120.678,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,42,14.868,0.354,7.346,255,90.268,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,39,13.641,0.35,7.124,255,89.191,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-10_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,60,23.583,0.393,6.365,255,100.229,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-11_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,56,40.526,0.724,11.271,255,184.537,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,67,38.018,0.567,11.496,255,144.697,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,54,30.806,0.57,11.288,255,145.473,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,70,30.009,0.429,9.533,255,109.317,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(15).tifnucleo_0,91,38.712,0.425,10.967,255,108.478,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_0(14).tifnucleo_0,37,20.063,0.542,8.081,255,138.274,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,54,33.541,0.621,14.452,255,158.389,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,45,22.399,0.498,10.604,255,126.929,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_3(14).tifnucleo_0,52,22.37,0.43,8.179,255,109.699,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_0(15).tifnucleo_0,68,42.573,0.626,12.02,255,159.648,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_1(16).tifnucleo_0,65,45.236,0.696,17.036,255,177.464,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_2(18).tifnucleo_0,37,24.173,0.653,8.944,255,166.595,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,70,27.142,0.388,8.421,255,98.873,dox_scramble
Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0,61,24.486,0.401,8.572,255,102.358,dox_scramble
