Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,35,19.319,0.552,5.032,255,140.753,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,31,9.415,0.304,4.634,255,77.448,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-12_Out_Channel Alignment.czi_nucleo_2(13).tifnucleo_0,27,9.808,0.363,7.073,255,92.633,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_0(12).tifnucleo_0,60,20.707,0.345,7.632,255,88.004,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_1(11).tifnucleo_0,55,26.576,0.483,10.124,255,123.217,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-13_Out_Channel Alignment.czi_nucleo_2(12).tifnucleo_0,32,12.037,0.376,5.66,255,95.92,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_0(11).tifnucleo_0,58,24.499,0.422,8.77,255,107.712,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_1(12).tifnucleo_0,58,22.523,0.388,7.582,255,99.023,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-14_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,27,9.413,0.349,4.316,255,88.902,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,93,54.398,0.585,11.989,255,149.155,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,76,29.849,0.393,8.528,255,100.15,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-16_Out_Channel Alignment.czi_nucleo_0(13).tifnucleo_0,75,40.136,0.535,11.876,255,136.462,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-16_Out_Channel Alignment.czi_nucleo_1(13).tifnucleo_0,57,33.668,0.591,10.255,255,150.62,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-16_Out_Channel Alignment.czi_nucleo_2(11).tifnucleo_0,53,32.152,0.607,7.105,255,154.695,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_0(17).tifnucleo_0,60,28.157,0.469,12.247,255,119.668,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_1(17).tifnucleo_0,56,23.887,0.427,9.233,255,108.77,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_2(17).tifnucleo_0,40,16.942,0.424,6.372,255,108.002,dox_sifak
Dox-siFAK-h2ax-647-ku80-564-dapi-17_Out_Channel Alignment.czi_nucleo_3(17).tifnucleo_0,67,29.445,0.439,7.615,255,112.068,dox_sifak
