,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
99,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.2,26.753,0.000817,58.849,4.649,56610,1.0,1.0,sifak,CT-siFAK,02,3,0
100,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,2.248,18.164,0.000816,40.823,9.116,39270,1.022,0.979,sifak,CT-siFAK,02,4,0
101,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_4-roi_1-1.tiff,3.581,25.833,0.000808,92.515,4.984,88995,1.226,0.815,sifak,CT-siFAK,02,4,1
102,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,4.73,30.32,0.000815,143.411,3.545,137955,1.077,0.929,sifak,CT-siFAK,04,1,0
103,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_3-roi_0-1.tiff,2.433,25.609,0.000812,62.295,5.069,59925,1.156,0.865,sifak,CT-siFAK,04,3,0
104,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_3-roi_1-1.tiff,2.199,17.844,0.000816,39.233,9.366,37740,1.044,0.957,sifak,CT-siFAK,04,3,1
105,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_3-roi_2-1.tiff,2.695,19.873,0.000814,53.547,7.916,51510,1.125,0.889,sifak,CT-siFAK,04,3,2
106,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_3-roi_3-1.tiff,2.859,22.162,0.000815,63.355,6.601,60945,1.1,0.909,sifak,CT-siFAK,04,3,3
107,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_3-roi_4-1.tiff,3.534,25.8,0.000798,91.189,4.996,87720,1.36,0.735,sifak,CT-siFAK,04,3,4
108,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,2.27,18.331,0.000807,41.618,8.988,40035,1.238,0.808,sifak,CT-siFAK,04,4,0
109,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.czinucleo_4-roi_1-1.tiff,3.792,34.531,0.000814,130.952,2.541,125970,1.123,0.891,sifak,CT-siFAK,04,4,1
110,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.595,17.674,0.000815,45.86,9.502,44115,1.083,0.923,sifak,CT-siFAK,07,0,0
111,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.547,31.953,0.000816,81.381,3.124,78285,1.02,0.98,sifak,CT-siFAK,07,1,0
112,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_1-1.tiff,2.62,37.643,0.000807,98.612,1.947,94860,1.244,0.804,sifak,CT-siFAK,07,1,1
113,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_2-1.tiff,2.834,20.299,0.000808,57.524,7.649,55335,1.234,0.81,sifak,CT-siFAK,07,1,2
114,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_3-1.tiff,5.726,29.306,0.00081,167.799,3.831,161415,1.191,0.84,sifak,CT-siFAK,07,1,3
115,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_1-roi_4-1.tiff,3.087,23.439,0.000816,72.368,5.98,69615,1.019,0.982,sifak,CT-siFAK,07,1,4
116,SUM_(14)CT-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,5.763,29.989,0.000816,172.836,3.636,166260,1.069,0.935,sifak,CT-siFAK,07,2,0
