label	max_9000	sum_9000	tto
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_2(10).tif	1	215	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_3(10).tif	1	126	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(15).tif	12	224	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_1(15).tif	10	182	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_2(14).tif	15	330	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_3(15).tif	9	190	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(12).tif	25	492	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(12).tif	25	448	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(12).tif	25	606	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(13).tif	3	155	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(13).tif	5	271	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_2(14).tif	2	214	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_3(14).tif	3	68	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(13).tif	3	158	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_1(15).tif	5	209	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_2(14).tif	2	219	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_3(15).tif	3	66	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_0(9).tif	5	162	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_1(7).tif	2	122	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_2(8).tif	2	186	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-13_Out_Channel Alignment.czi_nucleo_3(8).tif	1	69	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif	6	141	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(12).tif	1	103	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(11).tif	3	215	ct
d2-ct-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_3(12).tif	1	102	ct
