index,label,area,ctcf_fak,ctcf_ku80,ctcf_gh2ax,tto,tto_index
45,(12)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo3,223.915,1015380.268,291851.2768,1413624.918,dox_dmso,19
46,(11)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo0,176.702,3985808.009,369974.8157,3032667.892,dox_dmso,20
47,(11)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo1,228.729,3817457.51,324178.4937,2799301.303,dox_dmso,21
48,(7)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-12_Out_Channel Alignment-1.czifak:nucleo0,236.891,2382546.148,993729.3692,3190197.372,dox_dmso,22
50,(11)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo1,237.866,1995595.813,364074.4743,493539.8679,dox_dmso,24
51,(11)dox-DMSO-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czifak:nucleo2,317.039,2369822.399,492662.3824,1328877.57,dox_dmso,25
52,(9)dox-PF-h2ax-647-ku80-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,316.617,3522112.13,1305575.709,15744547.63,dox_pf,1
53,(12)dox-PF-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,213.038,3119798.653,579170.3173,2411276.641,dox_pf,2
54,(12)dox-PF-h2ax-647-ku80-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo1,216.894,3960709.86,643458.0999,2926401.806,dox_pf,3
56,(11)dox-PF-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czifak:nucleo1,222.871,2984290.956,1827976.093,5377058.431,dox_pf,5
57,(10)dox-PF-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo0,177.892,3148033.17,867908.0762,3608518.736,dox_pf,6
58,(10)dox-PF-h2ax-647-ku80-564-fak-488-dapi-04_Out_Channel Alignment-1.czifak:nucleo1,172.461,3052129.67,725765.2868,3383417.182,dox_pf,7
59,(9)dox-PF-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czifak:nucleo0,257.516,4194862.379,1714710.241,4241113.231,dox_pf,8
60,(9)dox-PF-h2ax-647-ku80-564-fak-488-dapi-06_Out_Channel Alignment-1.czifak:nucleo0,233.974,3727677.067,1692472,3281886.149,dox_pf,9
62,(12)dox-PF-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czifak:nucleo1,281.884,1910008.617,165943.7755,13125993.15,dox_pf,11
63,(12)dox-PF-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo0,188.54,3188331.103,303081.1483,1961236.403,dox_pf,12
64,(12)dox-PF-h2ax-647-ku80-564-fak-488-dapi-08_Out_Channel Alignment-1.czifak:nucleo1,204.997,2824433.816,291221.8469,1717873.998,dox_pf,13
65,(11)dox-PF-h2ax-647-ku80-564-fak-488-dapi-09_Out_Channel Alignment-1.czifak:nucleo0,170.069,3420303.797,634168.1425,1745325.201,dox_pf,14
66,(10)dox-PF-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo0,189.734,3252715.729,900499.1945,1762178.223,dox_pf,15
67,(10)dox-PF-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czifak:nucleo1,206.171,2970430.19,923310.1454,1644474.8,dox_pf,16
68,(9)dox-PF-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment-1.czifak:nucleo0,187.991,3607447.43,1601940.064,3126085.603,dox_pf,17
